Order	Score	Word	IsRandom	Ngrams
195	24.60	jocelynn   	 	oc(5.82), jo(3.83), ce(3.50), ly(3.19), yn(3.10), nn(2.87), el(2.29)
196	24.54	gabriella  	 	ga(4.18), ab(3.95), br(3.12), ll(3.04), ie(2.96), la(2.56), ri(2.45), el(2.29)
197	24.53	brooks     	 	ks(6.22), ok(6.00), oo(5.82), ro(3.36), br(3.12)
198	24.48	adsfda     	*	fd(6.51), sf(5.82), ds(5.66), ad(3.28), da(3.20)
199	24.39	roderick   	 	od(4.90), ck(4.32), ic(3.74), ro(3.36), de(3.01), er(2.62), ri(2.45)
200	24.38	valentina  	 	nt(4.11), va(4.08), ti(3.80), in(2.66), al(2.57), na(2.48), le(2.36), en(2.31)
201	24.37	marquis    	 	rq(6.51), ui(5.13), qu(4.84), is(2.99), ma(2.58), ar(2.33)
202	24.34	gabrielle  	 	ga(4.18), ab(3.95), br(3.12), ll(3.04), ie(2.96), ri(2.45), le(2.36), el(2.29)
203	24.31	houston    	 	ou(5.53), ho(5.05), us(4.18), to(3.60), st(3.50), on(2.45)
204	24.27	kathleen   	 	hl(5.41), ee(3.78), at(3.66), th(3.64), ka(3.11), le(2.36), en(2.31)
205	24.23	bridget    	 	dg(6.22), id(4.35), ge(4.08), et(4.00), br(3.12), ri(2.45)
206	24.22	maxwell    	 	xw(6.92), we(4.78), ax(4.62), ll(3.04), ma(2.58), el(2.29)
207	24.19	abigail    	 	bi(5.21), ig(4.52), ga(4.18), ab(3.95), ai(3.27), il(3.07)
208	24.18	vaughn     	 	hn(5.66), ug(5.41), gh(4.84), au(4.18), va(4.08)
209	24.18	maverick   	 	ve(4.39), ck(4.32), av(4.08), ic(3.74), er(2.62), ma(2.58), ri(2.45)
210	24.09	yaretzi    	 	tz(6.00), zi(5.53), et(4.00), ya(3.29), re(2.94), ar(2.33)
211	24.09	fernanda   	 	rn(5.31), fe(5.31), nd(3.39), da(3.20), er(2.62), na(2.48), an(1.78)
212	24.08	ibrahim    	 	ib(6.00), hi(4.62), im(4.43), ah(3.19), br(3.12), ra(2.72)
213	24.06	emersyn    	 	sy(5.41), rs(5.13), em(3.97), me(3.83), yn(3.10), er(2.62)
214	24.05	jermaine   	 	rm(5.41), je(4.43), ai(3.27), ne(3.08), in(2.66), er(2.62), ma(2.58)
215	24.03	xzavier    	 	xz(6.51), za(4.11), av(4.08), vi(3.74), ie(2.96), er(2.62)
216	24.02	jazlynn    	 	zl(6.51), az(5.31), ly(3.19), yn(3.10), ja(3.05), nn(2.87)
217	23.99	tabitha    	 	bi(5.21), it(4.24), ta(4.03), ab(3.95), th(3.64), ha(2.92)
218	23.98	maddison   	 	dd(5.13), di(3.97), so(3.59), ad(3.28), is(2.99), ma(2.58), on(2.45)
219	23.95	terrence   	 	rr(4.67), nc(4.18), te(3.74), ce(3.50), re(2.94), er(2.62), en(2.31)
220	23.94	serenity   	 	ty(4.78), it(4.24), se(3.66), ni(3.39), re(2.94), er(2.62), en(2.31)
221	23.92	rebekah    	 	ek(5.66), eb(5.41), be(3.60), ah(3.19), ka(3.11), re(2.94)
222	23.92	kyleigh    	 	gh(4.84), ig(4.52), ky(4.48), ei(4.43), yl(3.29), le(2.36)
223	23.89	stephen    	 	ep(5.82), ph(4.72), he(3.80), te(3.74), st(3.50), en(2.31)
224	23.89	liberty    	 	ib(6.00), ty(4.78), rt(4.52), be(3.60), er(2.62), li(2.36)
225	23.88	margaret   	 	rg(5.53), ar(4.66), ga(4.18), et(4.00), re(2.94), ma(2.58)
